Customer_ID,marriage,sex,education,LIMIT_BAL,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,Bill_amt1,Bill_amt2,Bill_amt3,Bill_amt4,Bill_amt5,Bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,AVG_Bill_amt,PAY_TO_BILL_ratio,next_month_default
5017,2,0,2,60000,25,2,2,2,0,0,0,60323.86,60728.22,56472.74,28602.01,22191.53,20750.63,2000.21,0,1134.85,1821.78,1500.03,1500.24,41511.5,0.03,0
5018,2,1,1,290000,24,0,0,-2,-2,-1,0,11157.67,0,0.88,0.65,2700.96,1350.3,0,0.17,0,2700.1,0,1349.72,2534.5,0.27,0
5019,1,0,2,180000,63,0,0,0,0,0,0,47930.96,48921.91,50034.26,50748.9,51902.56,52991.51,2086.94,2199.99,1845.66,2000.35,1923,1999.78,50422,0.04,0
5020,1,1,2,210000,43,0,0,0,0,0,0,91152.44,92916.01,90652.3,85295.56,80416.75,76945.47,3348.07,3380.91,3400.45,2683.97,2744,2892.1,86229.5,0.04,0
5021,2,0,1,280000,32,-2,-2,-2,-2,-2,-2,19666.4,999.04,3186.48,44932.48,2099.77,1.35,999.78,3186.27,45027.78,2100.09,0.01,0.27,11814.33,0.72,0
5022,1,1,1,80000,35,-1,2,-1,-1,-1,-1,3614.82,80.76,3722.77,303.3,661.31,3294.93,0.03,3722.62,890.98,661.97,3294.84,1087.51,1946.5,0.83,0
5023,1,0,2,200000,37,-1,-1,0,-1,-1,0,29311.92,19202.8,9545.56,15296.45,7045.48,10712.01,19312.98,9455.13,15306.21,7055.3,10700.16,12388.83,15185.33,0.81,0
5024,3,1,2,50000,24,0,0,0,0,0,0,40902.72,37961.96,26564.76,9866.23,5385.25,5651.27,1600.15,6207.28,1464.87,2199.89,1000.26,3000.16,21055.33,0.12,0
5025,1,1,3,50000,44,0,0,0,0,0,0,46362.82,47357.3,48904.98,49793.4,8820.34,9001.04,1761.95,2311.19,2200.21,176.18,180.19,9769.14,35039.67,0.08,0
5026,2,1,1,440000,,0,-1,-1,-2,-1,0,26105.77,8998.57,0,0.4,10960.47,11350.05,8998.93,0,0,10960.93,502.87,448.09,9569.17,0.36,0
