Customer_ID,marriage,sex,education,LIMIT_BAL,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,Bill_amt1,Bill_amt2,Bill_amt3,Bill_amt4,Bill_amt5,Bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,AVG_Bill_amt,PAY_TO_BILL_ratio
1,1,1,2,220000,32,0,0,0,0,0,0,28853.1,29144.77,27172.12,22066.47,17831.13,15670.47,2000.03,3999.9,1419.8,1999.97,3000.21,30788.71,23456.33,0.31
2,2,0,1,350000,35,-1,-1,-1,0,0,0,4438.78,33718.18,14284.09,16425.68,10832.78,2261.45,33891.01,16267.19,4026.8,234.1,1565.11,26346.39,13660.33,1.0
3,2,1,1,310000,39,0,0,0,0,0,0,300500.53,265766.6,245457.9,249435.52,240520.57,246524.45,11026.94,10499.83,14000.32,10000.12,10000.16,10000.21,258034.17,0.04
4,1,0,2,20000,47,0,0,0,2,2,2,10628.45,11650.67,14252.14,13678.06,15040.17,14749.97,1200.0,2799.83,0.14,1499.93,0.02,1000.26,13333.33,0.08
5,2,1,2,500000,30,0,0,0,0,0,0,98617.77,73464.07,84740.39,72510.59,69054.15,64841.3,25463.94,43095.31,7521.96,9065.17,8841.07,12000.21,77204.5,0.23
6,2,1,3,180000,52,0,0,0,0,0,0,173066.45,171015.33,162516.27,163448.15,134939.13,135815.03,5902.22,7692.94,5464.25,4892.92,5094.95,4862.26,156799.5,0.04
7,1,0,2,50000,36,0,0,0,0,0,0,47605.35,48652.44,50144.45,47838.29,48913.93,50441.36,1814.98,2305.94,1999.92,2000.05,2499.93,1700.21,48932.83,0.04
8,2,1,2,120000,23,0,0,0,0,0,0,38842.81,38972.71,37707.98,4292.88,4305.45,5128.68,2300.02,1199.89,999.83,1000.07,888.05,59999.64,21541.5,0.51
9,1,1,2,160000,42,0,0,0,0,0,0,25337.19,27602.8,31816.59,34269.03,35697.19,37122.86,2999.71,4999.86,2999.68,2000.06,1999.69,1999.98,31974.5,0.09
10,2,0,1,70000,31,0,0,0,0,0,0,47873.16,52439.67,55960.7,63341.36,64694.26,67905.69,6000.06,4999.94,10000.12,3000.37,5000.0,3000.12,58702.33,0.09
11,2,0,1,140000,56,0,0,0,0,0,0,140630.04,142166.36,51333.69,51533.48,52233.64,53826.17,6100.25,2411.25,1999.89,2040.89,3000.09,1874.14,81953.67,0.04
12,1,1,3,240000,41,-1,-1,-1,0,-1,-1,3973.1,3723.92,7447.92,3723.23,5813.97,10941.66,3724.16,7448.09,0.0,5814.09,8852.1,0.0,5937.5,0.73
13,1,1,2,70000,50,0,0,0,0,0,0,12855.93,13866.7,14897.25,15940.39,16375.22,16958.68,1530.16,1559.67,1599.82,1000.18,1000.02,2400.22,15149.5,0.1
14,2,1,3,360000,42,-2,-2,-2,-2,-2,-2,0.0,0.0,0.16,1.28,0.0,0.0,0.04,0.0,0.19,0.0,0.01,0.0,0.0,0.0
15,1,1,2,160000,49,1,2,2,2,2,2,58942.52,60209.49,60753.77,59180.07,62835.83,61670.74,2800.06,2120.05,0.0,4610.93,0.1,2213.04,60598.83,0.03
